id,value
482,[100-100000457BOX]
483,1900 МГц
484,[100-000001155]
485,7
486,448
487,AMD Radeon Graphics
488,подержка AMD PRO Technologies
489,AMD Ryzen 5 PRO 4655G
490,[100-000000147]
491,AMD Radeon Vega 7
492,AMD Ryzen 5 4600G
493,1700 МГц
494,[100-000000148]
495,384
496,AMD Radeon Vega 6
497,AMD Ryzen 3 PRO 4350G
498,[CM8071504651012-SRL62]
499,24
500,192
501,60 Вт
502,Intel UHD Graphics 730
503,Intel Core i3-12100
504,[CM8071504650609-SRL5Z]
505,2.5 ГГц
506,117 Вт
507,7.5 МБ
508,18 МБ
509,Intel Core i5-12400F
510,[CM8071504555318-SRL4W]
511,DDR5-5200
512,[100-000001591]
513,256 ГБ
514,AMD Phoenix
515,AM5
516,TSMC 4nm FinFET
517,DDR5
518,6 МБ
519,поддержка AMD EXPO
520,AMD Ryzen 5 8400F
521,[100-100000927CBX]
522,1500 МГц
523,[CM8071505092202-SRMBU]
524,Intel Core i3-13100
525,[100-000000071]
526,AMD Ryzen 7 3700X
527,Intel Core i3-14100
528,[100-100000927BOX]
529,1450 МГц
530,[CM8071504650806-SRL60]
531,2.3 ГГц
532,35 Вт
533,69 Вт
534,"поддержка Intel Optane, технология Intel GNA"
535,Intel Core i3-12300T
536,[100-100000065BOX]
537,1.8 ГГц
538,[CM8071504821107-SRMBG]
539,148 Вт
540,10
541,9.5 МБ
542,20 МБ
543,Intel Core i5-13400F
544,[CM8071505093005]
545,[100-000001488]
546,AMD Ryzen 5 5600GT
547,[100-000001489]
548,AMD Ryzen 5 5500GT
549,[BX8071512400F-SRL4W]
550,[100-000000926]
551,AMD Ryzen 7 5700X
552,[BX8071512400F-SRL5Z]
553,[BXC8071512400F]
554,[BX8071512100]
555,[BXC8071512490F]
556,3 ГГц
557,Intel Core i5-12490F
558,[BX8071514100F]
559,[CM8071504758300]
560,[100-000000252]
561,3.9 ГГц
562,2021
563,AMD Ryzen 5 5600G
564,[CM8071504650608-SRL5Y]
565,Intel Core i5-12400
566,[100-100001488BOX]
567,[100-100001488CBX]
568,[100-000001845]
569,AMD Raphael
570,24 шт
571,TSMC 5nm FinFET
572,2025
573,AMD Ryzen 5 7400F
574,2000 МГц
575,[100-000000263]
576,AMD Ryzen 7 5700G
577,[CM8071504821113]
578,Intel Core i5-14400F
579,26.5 см
580,1
581,"0, 1"
582,MSI PRO
583,коричневый
584,DIMM
585,1 x PCIe 3.0 (в режиме x16)
586,1 Гбит/с
587,1 x 4 pin
588,Realtek RTL8111H
589,чипсет
590,236 мм
591,24 pin
592,"Matisse, Renoir"
593,"2667 МГц, 2800 МГц, 2933 МГц, 3000 МГц, 3066 МГц, 3200 МГц, 3466 МГц, 3600 МГц, 3733 МГц, 3866 МГц, 4000 МГц, 4133 МГц, 4266 МГц, 4400 МГц, 4600 МГцещё"
594,26 см
595,1 x 2242/2260/2280 (SATA/PCIe 3.0 x4)
596,3.0
597,Realtek ALC892/ALC897
598,"0, 1, 10"
599,материнская плата
600,1 x 4 pin (кулер)
601,Micro-ATX
602,7.5 см
603,"2 x USB 2.0, 4 x USB 3.2 Gen 1"
604,MSI A520M-A PRO
605,"для клавиатуры, для мыши"
606,7.1
607,"1 x DVI-D, 1 x HDMI"
608,"2 x кабель SATA, диск с ПО, документация, задняя планка"
609,3200 МГц
610,"1 x USB 3.2 Gen 1 (19 pin), 2 x USB 2.0 (9 pin)"
611,0.76 кг
612,AMD A520
613,0 шт
614,поддержка TPM 2.0
615,210 мм
616,1 x 8 pin
617,"1 x M.2 слот, чипсет"
618,5.5 см
619,MSI A520M PRO
620,комбинированный
621,"1 x DisplayPort, 1 x HDMI, 1 x VGA (D-Sub)"
622,MSI Mystic Light
623,0.78 кг
624,28 см
625,230 мм
626,"Matisse, Renoir, Vermeer"
627,"3466 МГц, 3600 МГц, 3733 МГц, 3800 МГц, 3866 МГц, 4000 МГц, 4133 МГц, 4200 МГц, 4266 МГц, 4333 МГц, 4400 МГц, 4466 МГц, 4533 МГц, 4600 МГц, 4666 МГц, 4733 МГцещё"
628,24 см
629,Realtek ALC887
630,6 см
631,ASRock A520M-HDV
632,"1 x DVI-D, 1 x HDMI, 1 x VGA (D-Sub)"
633,0.8 кг
634,"поддержка Intel XMP, поддержка TPM 2.0"
635,27.6 см
636,23.4 см
637,ASRock A520M-HVS
638,"1 x HDMI, 1 x VGA (D-Sub)"
639,188 мм
640,1 x PCIe 4.0 (в режиме x16)
641,197 мм
642,21 см
643,5
644,4.0
645,Realtek ALC887/897
646,"2 x USB 3.2 Gen 1, 4 x USB 2.0"
647,ASRock H610M-HVS
648,Intel H610
649,"1 x USB 2.0 (9 pin), 1 x USB 3.2 Gen 1 (19 pin)"
650,"Alder Lake, Raptor Lake"
651,0.75 кг
652,ASUS PRIME
653,"Cezanne, Matisse, Picasso, Renoir, Vermeer"
654,"3333 МГц, 3400 МГц, 3466 МГц, 3600 МГц, 3733 МГц, 3866 МГц, 4000 МГц, 4133 МГц, 4200 МГц, 4266 МГц, 4333 МГц, 4400 МГц, 4466 МГц, 4600 МГц, 4666 МГц, 4866 МГц, 5100 МГцещё"
655,1 x 2242/2260/2280 (PCIe 3.0 x4)
656,ASUS PRIME A520M-R
657,1 x HDMI
658,"2 x кабель SATA, документация, задняя планка"
659,"ASUS 5X Protection, поддержка ASUS AEMP II, технология SafeSlot"
660,220 мм
661,6+1+1
662,ASRock H610M-HVS/M.2 R2.0
663,"2 x кабель SATA, диск с ПО, документация, задняя планка, крепеж для разъема M.2"
664,"Alder Lake, Raptor Lake, Raptor Lake Refresh"
665,поддержка Intel XMP
666,Realtek ALC897
667,MSI PRO H610M-S DDR4
668,"документация, задняя планка, кабель SATA"
669,2 x USB 2.0 (9 pin)
670,1 кг
671,27 см
672,221 мм
673,226 мм
674,"3333 МГц, 3400 МГц, 3466 МГц, 3600 МГц, 3733 МГц, 3866 МГц, 4000 МГц, 4133 МГц, 4200 МГц, 4266 МГц, 4333 МГц, 4400 МГц, 4466 МГц, 4600 МГц, 4866 МГцещё"
675,26.3 см
676,5.2 см
677,ASUS PRIME A520M-K
678,0.82 кг
679,ASRock H610M-HDV
680,MSI PRO H610M-E DDR4
681,0.7 кг
682,27.5 см
683,"Pinnacle Ridge, Raven Ridge, Summit Ridge"
684,"2933 МГц, 3200 МГц"
685,ASRock B450M-HDV R4.0
686,"2 x кабель SATA, диск с ПО, документация, крепеж для разъема M.2"
687,0.74 кг
688,AMD B450
689,аудиоконденсаторы ELNA
690,кнопка BIOS FlashBack
691,"Matisse, Picasso, Pinnacle Ridge, Raven Ridge"
692,"2800 МГц, 2933 МГц, 3000 МГц, 3200 МГц, 3300 МГц, 3400 МГц, 3466 МГц, 3533 МГц, 3600 МГц, 3733 МГц, 3866 МГц, 4000 МГц, 4400 МГцещё"
693,4+2
694,5 см
695,ASUS PRIME B450M-K II
696,2666 МГц
697,LED-трассировка зоны аудиоподсистемы
698,ASRock H610M-HDV/M.2 R2.0
699,MSI PRO H610M-E
700,96 ГБ
701,5600 МГц
702,3+1+1
703,ASRock H610M-H2/M.2 D5
704,2 x HDMI
705,"2 x кабель SATA, документация, задняя планка, крепеж для разъема M.2"
706,ASRock H610M-H2/M.2
707,25 см
708,23 см
709,"2 x USB 2.0, 2 x USB 3.2 Gen 1"
710,ASUS PRIME H610M-R D4
711,203 мм
712,234 мм
713,5.1 см
714,ASUS PRIME H610M-K D4
715,0.9 кг
716,"3333 МГц, 3400 МГц, 3466 МГц, 3600 МГц, 3733 МГц, 3866 МГц, 4000 МГц, 4200 МГц, 4266 МГц, 4333 МГц, 4400 МГц, 4466 МГц, 4600 МГц, 4866 МГцещё"
717,"1 x USB 3.2 Gen 2, 2 x USB 2.0, 4 x USB 3.2 Gen 1"
718,ASUS PRIME A520M-E/CSM
719,202 мм
720,Intel I219-V
721,MSI PRO H610M-G DDR4
722,0.86 кг
723,34 см
724,ASRock PRO
725,224 мм
726,"1 x PCIe 3.0 (в режиме x4), 1 x PCIe 3.0 (в режиме x16)"
727,CrossFire X
728,"зона VRM, чипсет"
729,305 мм
730,"Matisse, Picasso, Pinnacle Ridge, Raven Ridge, Summit Ridge"
731,"1 x 4 pin (кулер), 1 x 4 pin (кулер/помпа)"
732,Standard-ATX
733,1 x USB 3.2 Gen 2
734,ASRock B450 Pro4 R2.0
735,1 x 2230/2242/2260/2280/22110 (SATA/PCIe 3.0 x2)
736,ASRock Polychrome SYNC
737,1.32 кг
738,2 шт
739,"3600 МГц, 4000 МГц, 4400 МГц, 4600 МГц, 5333 МГц"
740,1 x 2260/2280 (PCIe 4.0 x4)
741,5+1+1
742,"0, 1, 5, 10"
743,"2 x USB 2.0, 3 x USB 3.2 Gen 1"
744,1 x USB 3.2 Gen 1
745,ASRock B760M-HDV/M.2 D4
746,1 x 2260/2280 (SATA/PCIe 3.0 x4)
747,Intel B760
748,0.77 кг
749,"2800 МГц, 3000 МГц, 3200 МГц, 3300 МГц, 3400 МГц, 3466 МГц, 3533 МГц, 3600 МГц, 3733 МГц, 3866 МГц, 4000 МГц, 4400 МГц"
750,1 x 2242/2260/2280/22110 (SATA/PCIe 3.0 x4)
751,"2 x USB 3.2 Gen 2, 4 x USB 3.2 Gen 1"
752,ASUS PRIME B450M-A II
753,ASUS Aura Sync
754,0.95 кг
755,технология SafeSlot
756,"3333 МГц, 3400 МГц, 3466 МГц, 3600 МГц, 3733 МГц, 3800 МГц, 4000 МГц, 4200 МГц, 4266 МГц, 4400 МГц, 4600 МГц, 4800 МГц"
757,MSI PRO B760M-E DDR4
758,1 x 2242/2260/2280 (SATA/PCIe 4.0 x4)
759,"документация, задняя планка, кабель SATA, крепеж для разъема M.2"
760,211 мм
761,MSI PRO H610M-G
